activity_date,customerid,transaction_method,transaction_type, transaction_amount
4/6/2024,3985,DEBIT CARD,PAYMENT,  139 
4/6/2024,3985,DEBIT CARD,PAYMENT,  8 
4/7/2024,3025,DEBIT CARD,PAYMENT,  330 
4/4/2024,65,CREDIT CARD,INSTALMENT,"  170,675 "
4/3/2024,4857,CREDIT CARD,RETAIL TRANSACTION,"  112,900 "
4/2/2024,4857,CREDIT CARD,RETAIL TRANSACTION,"  11,000 "
4/2/2024,5463,CREDIT CARD,RETAIL TRANSACTION,"  144,000 "
4/4/2024,8779,CREDIT CARD,INSTALMENT,"  225,198 "
4/3/2024,4277,CREDIT CARD,RETAIL TRANSACTION,"  339,240 "
4/3/2024,7170,CREDIT CARD,RETAIL TRANSACTION,"  952,338 "
4/3/2024,3569,CREDIT CARD,RETAIL TRANSACTION,"  189,000 "
4/3/2024,1047,CREDIT CARD,RETAIL TRANSACTION,"  344,108 "
4/3/2024,5232,CREDIT CARD,RETAIL TRANSACTION,"  1,776,250 "
4/4/2024,5232,CREDIT CARD,RETAIL TRANSACTION,"  319,000 "
4/3/2024,5232,CREDIT CARD,RETAIL TRANSACTION,  49 
4/3/2024,5232,CREDIT CARD,RETAIL TRANSACTION,  5 
4/4/2024,5232,CREDIT CARD,RETAIL TRANSACTION,  6 
4/2/2024,5232,CREDIT CARD,RETAIL TRANSACTION,"  2,538,500 "
4/3/2024,7550,CREDIT CARD,RETAIL TRANSACTION,"  500,675 "
4/3/2024,7550,CREDIT CARD,RETAIL TRANSACTION,"  930,173 "
4/3/2024,7550,CREDIT CARD,RETAIL TRANSACTION,"  819,500 "
4/4/2024,305,CREDIT CARD,INSTALMENT,"  181,662 "
4/4/2024,305,CREDIT CARD,INSTALMENT,"  363,325 "
4/2/2024,4288,CREDIT CARD,RETAIL TRANSACTION,"  72,000 "
4/3/2024,4288,CREDIT CARD,RETAIL TRANSACTION,"  5,000 "
4/3/2024,6911,CREDIT CARD,RETAIL TRANSACTION,"  20,000 "
4/2/2024,6911,CREDIT CARD,RETAIL TRANSACTION,"  20,000 "
4/3/2024,4277,CREDIT CARD,RETAIL TRANSACTION,"  159,007 "
4/3/2024,1784,CREDIT CARD,RETAIL TRANSACTION,"  103,800 "
4/3/2024,1784,CREDIT CARD,RETAIL TRANSACTION,"  203,000 "
4/3/2024,4426,CREDIT CARD,RETAIL TRANSACTION,"  1,680,479 "
4/2/2024,6513,CREDIT CARD,RETAIL TRANSACTION,"  113,000 "
4/2/2024,6513,CREDIT CARD,RETAIL TRANSACTION,"  12,000 "
4/3/2024,6513,CREDIT CARD,RETAIL TRANSACTION,"  48,000 "
4/3/2024,6513,CREDIT CARD,RETAIL TRANSACTION,"  10,900 "
4/3/2024,2960,CREDIT CARD,RETAIL TRANSACTION,"  145,000 "
4/4/2024,2146,CREDIT CARD,INSTALMENT,"  441,500 "
4/3/2024,268,CREDIT CARD,RETAIL TRANSACTION,"  326,650 "
4/4/2024,5463,MOBILE BANKING,TRANSFER,"  105,000 "
4/4/2024,5463,MOBILE BANKING,TRANSFER,"  190,000 "
4/4/2024,5463,MOBILE BANKING,TRANSFER,"  70,000 "
4/4/2024,5463,MOBILE BANKING,TRANSFER,"  500,000 "
4/4/2024,837,MOBILE BANKING,TRANSFER,"  800,000 "
4/4/2024,837,MOBILE BANKING,TRANSFER,"  250,000 "
4/4/2024,779,MOBILE BANKING,TRANSFER,"  1,000,000 "
4/4/2024,779,MOBILE BANKING,TRANSFER,"  1,500,000 "
4/4/2024,5952,MOBILE BANKING,TRANSFER,"  125,000 "
4/4/2024,7772,MOBILE BANKING,TRANSFER,"  2,000,000 "
4/4/2024,2960,MOBILE BANKING,TRANSFER,"  2,000,000 "
4/4/2024,7903,MOBILE BANKING,TRANSFER,"  1,500,000 "
4/4/2024,6604,MOBILE BANKING,TRANSFER,"  500,000 "
4/4/2024,280,MOBILE BANKING,TRANSFER,"  650,000 "
4/4/2024,280,MOBILE BANKING,TRANSFER,"  195,000 "
4/4/2024,5225,MOBILE BANKING,TRANSFER,"  150,000 "
4/4/2024,3172,MOBILE BANKING,TRANSFER,"  125,000 "
4/4/2024,3172,MOBILE BANKING,TRANSFER,"  4,500,000 "
4/4/2024,8797,MOBILE BANKING,TRANSFER,"  400,000 "
4/4/2024,8797,MOBILE BANKING,TRANSFER,"  600,000 "
4/4/2024,8797,MOBILE BANKING,TRANSFER,"  800,000 "
4/16/2024,2464,VELOCITY,OTHER VELO TRX,"  2,188,900 "
4/16/2024,1465,VELOCITY,OTHER VELO TRX,"  100,000 "
4/16/2024,600,VELOCITY,OTHER VELO TRX,"  741,000 "
4/16/2024,3161,MOBILE BANKING,TRANSFER,"  1,500,000 "
4/16/2024,3161,MOBILE BANKING,TRANSFER,"  108,000 "
4/16/2024,5225,MOBILE BANKING,TRANSFER,"  500,000 "
4/16/2024,2960,MOBILE BANKING,TRANSFER,"  10,000 "
4/16/2024,2960,MOBILE BANKING,TRANSFER,  6 
4/16/2024,3161,MOBILE BANKING,TRANSFER,"  485,332 "
4/16/2024,3161,MOBILE BANKING,TRANSFER,"  100,000 "
4/16/2024,3974,MOBILE BANKING,TRANSFER,"  1,260,000 "
4/16/2024,2306,MOBILE BANKING,TRANSFER,"  200,000 "
4/16/2024,2306,MOBILE BANKING,TRANSFER,"  15,000 "
4/16/2024,4288,MOBILE BANKING,TRANSFER,"  515,000 "
4/16/2024,4288,MOBILE BANKING,TRANSFER,"  100,000 "
4/16/2024,4288,MOBILE BANKING,TRANSFER,"  22,000 "
4/16/2024,7903,MOBILE BANKING,TRANSFER,"  3,000,000 "
4/16/2024,7903,MOBILE BANKING,TRANSFER,"  95,150 "
4/16/2024,7772,MOBILE BANKING,TRANSFER,"  9,349,861 "
4/16/2024,3105,MOBILE BANKING,TRANSFER,"  5,000,000 "
4/16/2024,3105,MOBILE BANKING,TRANSFER,"  500,000 "
4/16/2024,6326,MOBILE BANKING,TRANSFER,"  100,000 "
4/16/2024,2168,MOBILE BANKING,TRANSFER,"  25,000 "
4/16/2024,76,MOBILE BANKING,TRANSFER,"  59,500 "
4/16/2024,76,MOBILE BANKING,TRANSFER,"  200,000 "
4/17/2024,2306,DEBIT CARD,PAYMENT,"  2,942,000 "
4/16/2024,3172,DEBIT CARD,PAYMENT,"  224,840 "
4/17/2024,7027,DEBIT CARD,PAYMENT,"  148,000 "
4/17/2024,7027,DEBIT CARD,PAYMENT,"  72,500 "
4/17/2024,6911,DEBIT CARD,PAYMENT,"  176,000 "
4/17/2024,7050,DEBIT CARD,PAYMENT,"  59,600 "
4/17/2024,5027,DEBIT CARD,PAYMENT,"  70,000 "
4/3/2024,5463,ATM,BIAYA,"  7,500 "
4/3/2024,2464,ATM,TRANSFER,"  1,100,000 "
4/3/2024,1396,ATM,BIAYA,"  6,500 "
4/3/2024,5849,ATM,TRANSFER,"  325,000 "
4/3/2024,600,ATM,BIAYA,"  6,500 "
4/3/2024,1310,ATM,TRANSFER,"  200,000 "
4/3/2024,188,ATM,TRANSFER,"  4,000,000 "
4/3/2024,188,ATM,TRANSFER,"  1,000,000 "
4/3/2024,837,ATM,BIAYA,"  6,500 "
4/3/2024,4062,ATM,WITHDRAWAL,"  400,000 "
4/3/2024,7732,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,7732,ATM,WITHDRAWAL,"  700,000 "
4/3/2024,3183,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,6386,ATM,PAYMENT,"  139,847 "
4/3/2024,7743,ATM,TRANSFER,"  500,000 "
4/3/2024,5849,ATM,BIAYA,"  6,500 "
4/3/2024,3974,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,3161,ATM,TRANSFER,"  8,200,000 "
4/3/2024,4062,ATM,TRANSFER,"  700,000 "
4/3/2024,268,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,5232,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,3010,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,3569,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,8644,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,5463,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,7170,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,7170,ATM,WITHDRAWAL,"  2,500,000 "
4/3/2024,7743,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,837,ATM,WITHDRAWAL,"  50,000 "
4/3/2024,1465,ATM,WITHDRAWAL,"  50,000 "
4/3/2024,326,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,4288,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,1396,ATM,TRANSFER,"  550,000 "
4/3/2024,1041,ATM,WITHDRAWAL,"  1,450,000 "
4/3/2024,76,ATM,WITHDRAWAL,"  50,000 "
4/3/2024,5849,ATM,WITHDRAWAL,"  2,500,000 "
